"system/cpu/cpuidle/current_governor_ro","qcom"
"system/cpu/cpu1/cpuidle/state0/disable","0"
"system/cpu/cpu1/cpuidle/state0/above","0"
"system/cpu/cpu1/cpuidle/state0/time","8563032742"
"system/cpu/cpu1/cpuidle/state0/power","0"
"system/cpu/cpu1/cpuidle/state0/residency","0"
"system/cpu/cpu1/cpuidle/state0/latency","43"
"system/cpu/cpu1/cpuidle/state0/usage","8912512"
"system/cpu/cpu1/cpuidle/state0/desc","wfi"
"system/cpu/cpu1/cpuidle/state0/below","7415567"
"system/cpu/cpu1/cpuidle/state0/name","C0"
"system/cpu/cpu1/uevent","OF_NAME=cpu
OF_FULLNAME=/cpus/cpu@100
OF_TYPE=cpu
OF_COMPATIBLE_0=qcom,kryo
OF_COMPATIBLE_N=1
MODALIAS=cpu:type:aarch64:feature:,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,000A,000B,000C,000F,0010,0014"
"system/cpu/cpu1/hotplug/target","211"
"system/cpu/cpu1/hotplug/state","211"
"system/cpu/cpu1/hotplug/fail","-1"
"system/cpu/cpu1/sched_load_boost","0"
"system/cpu/cpu1/power/runtime_active_time","0"
"system/cpu/cpu1/power/pm_qos_resume_latency_us","0"
"system/cpu/cpu1/power/runtime_status","unsupported"
"system/cpu/cpu1/power/autosuspend_delay_ms",""
"system/cpu/cpu1/power/runtime_suspended_time","0"
"system/cpu/cpu1/power/control","auto"
"system/cpu/cpu1/online","1"
"system/cpu/cpu1/topology/die_id","-1"
"system/cpu/cpu1/topology/physical_package_id","0"
"system/cpu/cpu1/topology/core_cpus_list","1"
"system/cpu/cpu1/topology/die_cpus_list","1"
"system/cpu/cpu1/topology/core_siblings","0f"
"system/cpu/cpu1/topology/core_siblings_list","0-3"
"system/cpu/cpu1/topology/package_cpus","0f"
"system/cpu/cpu1/topology/package_cpus_list","0-3"
"system/cpu/cpu1/topology/die_cpus","02"
"system/cpu/cpu1/topology/thread_siblings_list","1"
"system/cpu/cpu1/topology/core_id","1"
"system/cpu/cpu1/topology/core_cpus","02"
"system/cpu/cpu1/topology/thread_siblings","02"
"system/cpu/cpu1/cpu_capacity","325"
"system/cpu/cpu1/cache/uevent",""
"system/cpu/cpu1/cache/index2/uevent",""
"system/cpu/cpu1/cache/index2/shared_cpu_list","1"
"system/cpu/cpu1/cache/index2/type","Unified"
"system/cpu/cpu1/cache/index2/waiting_for_supplier","0"
"system/cpu/cpu1/cache/index2/level","2"
"system/cpu/cpu1/cache/index2/shared_cpu_map","02"
"system/cpu/cpu1/cache/index0/uevent",""
"system/cpu/cpu1/cache/index0/shared_cpu_list","1"
"system/cpu/cpu1/cache/index0/type","Data"
"system/cpu/cpu1/cache/index0/waiting_for_supplier","0"
"system/cpu/cpu1/cache/index0/level","1"
"system/cpu/cpu1/cache/index0/shared_cpu_map","02"
"system/cpu/cpu1/cache/index3/uevent",""
"system/cpu/cpu1/cache/index3/shared_cpu_list","0-7"
"system/cpu/cpu1/cache/index3/type","Unified"
"system/cpu/cpu1/cache/index3/waiting_for_supplier","0"
"system/cpu/cpu1/cache/index3/level","3"
"system/cpu/cpu1/cache/index3/shared_cpu_map","ff"
"system/cpu/cpu1/cache/index1/uevent",""
"system/cpu/cpu1/cache/index1/shared_cpu_list","1"
"system/cpu/cpu1/cache/index1/type","Instruction"
"system/cpu/cpu1/cache/index1/waiting_for_supplier","0"
"system/cpu/cpu1/cache/index1/level","1"
"system/cpu/cpu1/cache/index1/shared_cpu_map","02"
"system/cpu/cpu1/cache/waiting_for_supplier","0"
"system/cpu/cpu1/isolate","0"
"system/cpu/cpu1/waiting_for_supplier","0"
"system/cpu/cpu1/regs/identification/revidr_el1","0x0000000000000000"
"system/cpu/cpu1/regs/identification/midr_el1","0x00000000412fd050"
"system/cpu/smt/control","notimplemented"
"system/cpu/smt/active","0"
"system/cpu/vulnerabilities/spectre_v2","Not affected"
"system/cpu/vulnerabilities/itlb_multihit","Not affected"
"system/cpu/vulnerabilities/mds","Not affected"
"system/cpu/vulnerabilities/l1tf","Not affected"
"system/cpu/vulnerabilities/spec_store_bypass","Mitigation: Speculative Store Bypass disabled via prctl"
"system/cpu/vulnerabilities/tsx_async_abort","Not affected"
"system/cpu/vulnerabilities/spectre_v1","Mitigation: __user pointer sanitization"
